Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C6",01005,2,100n,
"C2, C3",0805,2,22u,
"C4, C7",0603,2,1u,
C5,0603,1,10u,
D1,0603,1,POWER,
D2,0603,1,GREEN,
D3,0805,1,1N5817,
"D4, D5, D6",D_SOD-923,3,ESD3.3,
F1,1206,1,Polyfuse 1A,
FB1,0805,1,BLM21PG220,
"J1, J3",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,2,Conn_01x04,
"J2, J6",PinHeader_2x03_P2.54mm_Vertical,2,Conn_02x03_Odd_Even,
J4,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J5,PinHeader_2x05_P2.54mm_Vertical,1,PIN 02x05,
"R1, R2",0402,2,5.1K,
"R3, R4",0402,2,1K,
"R5, R6",0402,2,2K2,
"R7, R8, R9",0402,3,10K,
SW1,SW_SPST_B3U-1000P,1,RESET,
SW2,SW_SPST_B3U-1000P,1,USER_BTN,
SW3,SW_SPST_B3U-1000P,1,BOOT,
U1,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,TO-252-3_TabPin2,1,LM1117DT-3.3,
