Designator,Mid X,Mid Y,Rotation,Layer
C1,95.875,-70.95,0.0,top
C2,87.64,-64.0,180.0,top
C3,87.64,-61.5,180.0,top
C4,112.0,-53.275,270.0,top
C5,116.0,-49.675,90.0,top
C6,113.5,-49.1625,90.0,top
C7,134.775,-71.5,0.0,top
D1,98.9275,-68.0,180.0,top
D2,143.7875,-59.0,180.0,top
D3,87.0,-78.9375,270.0,top
D4,114.0,-53.5,90.0,top
D5,140.0,-65.92,90.0,top
D6,134.42,-69.5,180.0,top
F1,92.5,-79.375,90.0,top
FB1,89.5,-78.875,270.0,top
J1,123.2,-88.625,0.0,top
J2,143.77,-74.96,0.0,top
J3,111.26,-88.855,0.0,top
J4,95.68,-87.8,0.0,top
J5,122.46,-76.27,90.0,top
J6,109.27,-65.5,0.0,top
R1,95.0,-80.375,90.0,top
R2,97.5,-80.2775,90.0,top
R3,95.0425,-68.0,0.0,top
R4,140.5,-59.0,0.0,top
R5,113.8575,-82.355,180.0,top
R6,110.8575,-82.355,0.0,top
R7,116.0,-53.2025,90.0,top
R8,120.5,-69.5,0.0,top
R9,131.5975,-71.5,0.0,top
SW1,109.0,-54.3,180.0,top
SW2,133.8,-74.5,270.0,top
SW3,143.0,-64.7,180.0,top
U1,128.1,-54.14,0.0,top
U2,96.05,-74.375,270.0,top
U3,96.68,-61.72,0.0,top
